FAC_TRI,EST_D_TRI,UPM,ING_X_HRS,INGOCUP,HRSOCUP,ANIOS_ESC,NIV_INS,EDA,SEX,ENT
406,0269,1900158,42.22222,8170,45,9,3,23,2,19
406,0269,1900158,35.55556,6880,45,6,2,60,1,19
406,0269,1900158,31.11111,6020,45,9,3,33,1,19
406,0269,1900158,42.5,7310,40,9,3,42,2,19
406,0269,1900158,22.72727,8600,88,12,3,50,2,19
406,0269,1900158,80,17200,50,9,3,18,2,19
695,0270,1900549,83.33333,12900,36,11,3,38,1,19
695,0270,1900549,166.11296,25000,35,11,3,35,1,19
509,0271,1901210,83.33333,21500,60,7,2,40,1,19
509,0271,1901210,31.00775,9600,72,12,3,21,2,19
509,0271,1901210,20.83333,4300,48,9,3,18,2,19
515,0270,1903049,93.02326,18000,45,11,3,61,1,19
515,0270,1903049,38.75969,10000,60,11,3,57,2,19
515,0270,1903049,38.75969,7000,42,12,3,51,1,19
405,0269,1904909,41.98966,6500,36,11,3,47,1,19
515,0270,1903049,155.03876,16000,24,17,4,27,2,19
515,0270,1903049,58.62069,7310,29,17,4,25,2,19
515,0270,1903049,43.99749,7000,37,16,4,24,1,19
405,0269,1904909,24.39024,4300,41,9,3,45,2,19
405,0269,1904909,25.5814,5500,50,17,4,28,2,19
405,0269,1904909,250,21500,20,12,4,47,1,19
405,0269,1904909,42.55319,8600,47,12,4,54,2,19
405,0269,1904909,62.5,3225,12,12,4,25,2,19
405,0269,1904909,107.14286,12900,28,9,3,26,1,19
405,0269,1904909,25,5160,48,11,3,47,2,19
405,0269,1904909,66.86047,11500,40,9,3,51,1,19
405,0269,1904909,155.03876,4000,6,9,3,49,2,19
405,0269,1904909,110.46512,19000,40,17,4,27,2,19
405,0269,1904909,96.51163,16600,40,15,4,24,1,19
405,0269,1904909,90.43928,7000,18,12,4,53,1,19
583,0271,1905572,58.13953,10000,40,16,4,56,2,19
583,0271,1905572,290.69767,50000,40,16,4,55,1,19
583,0271,1905572,232.55814,40000,40,18,4,45,2,19
535,0270,1906736,100,2580,6,17,4,30,1,19
598,0269,1909686,24.8062,5760,54,14,4,39,1,19
598,0269,1909686,50,4300,20,0,1,70,1,19
598,0269,1909686,29.03226,7740,62,6,2,28,1,19
598,0269,1909686,52.63158,8600,38,9,3,53,2,19
598,0269,1909686,51.16279,8800,40,16,4,24,2,19
598,0269,1909686,65.21739,6450,23,9,3,42,2,19
453,0270,1908781,101.74419,14000,32,13,3,54,1,19
453,0270,1908781,72.67442,10000,32,17,4,28,1,19
453,0270,1908781,68.39945,10000,34,9,3,32,1,19
453,0270,1908781,116.27907,30000,60,17,4,45,1,19
427,0270,1900407,136.32719,17000,29,9,3,52,1,19
427,0270,1900407,102.32558,22000,50,15,4,42,1,19
427,0270,1900407,72.5,12470,40,12,4,23,1,19
427,0270,1900407,50,6450,30,6,2,61,1,19
427,0270,1900407,84.84848,12040,33,11,3,55,1,19
427,0270,1900407,96.55172,12040,29,10,3,32,2,19
427,0270,1900407,62.5,8600,32,9,3,32,2,19
427,0270,1900407,66.66667,6880,24,12,3,50,1,19
427,0270,1900407,79.73422,12000,35,15,4,22,2,19
474,0271,1900711,121.12403,25000,48,17,4,53,1,19
474,0271,1900711,110.15912,18000,38,17,4,52,1,19
474,0271,1900711,67.31946,11000,38,15,4,22,1,19
474,0271,1900711,64.59948,10000,36,12,3,59,1,19
474,0271,1900711,99.66777,12000,28,11,3,25,1,19
474,0271,1900711,40.54054,6450,37,15,4,23,1,19
556,0270,1903239,27.68549,10000,84,12,3,26,1,19
556,0270,1903239,41.66667,8600,48,9,3,26,1,19
556,0270,1903239,232.55814,10000,10,9,3,29,2,19
556,0270,1903239,62.5,10750,40,11,3,25,1,19
556,0270,1903239,93.02326,16000,40,12,3,27,1,19
556,0270,1903239,62.5,10750,40,11,3,26,1,19
556,0270,1903239,62.5,10750,40,11,3,21,1,19
415,0269,1903761,48.44961,10000,48,11,3,25,2,19
415,0269,1903761,52.08333,10750,48,6,2,51,1,19
415,0269,1903761,31.25,6450,48,6,2,57,1,19
415,0269,1903761,53.29457,11000,48,11,3,23,1,19
415,0269,1903761,25,5160,48,6,2,30,2,19
415,0269,1903761,17.85714,2150,28,11,3,45,2,19
415,0269,1903761,250,34400,32,11,3,46,1,19
